창고코드,자재코드,자재명,배치,SAP재고,WMS재고,차이
5000.0,7302184.0,[EA]현대팝업용멜라3종사쉐키트,0,3000,3000,0.0
5000.0,7302185.0,[카카오]멜라비토닝앰플쿠션본품(선물포장)_21호내추럴,0,1,1,0.0
5000.0,7302221.0,[판촉물-상품]이지듀로즈에디션프리저브드플라워,,7093,7093,0.0
5000.0,7302335.0,이지듀밀착커버앰플쿠션퍼프(1개입),0,6121,6121,0.0
5000.0,7302439.0,이지듀멜라비토닝앰플쿠션하운드체크에디션케이스_단상자,20251106,520,520,0.0
5000.0,7302439.0,이지듀멜라비토닝앰플쿠션하운드체크에디션케이스_단상자,20251128,938,938,0.0
5000.0,7302471.0,[부자재_인도네시아]비타앰플클렌저_200ml_용기덧방라벨_V2,20251125,700,700,0.0
5000.0,7302472.0,[부자재_인도네시아]원데이앰플_15ml_용기덧방라벨_V2,20251125,21,21,0.0
5000.0,7302473.0,[부자재_인도네시아]원데이앰플_30ml_용기덧방라벨_V2,20251125,600,600,0.0
5000.0,7302474.0,[부자재_인도네시아]비타앰플클렌저_200ml_단상자덧방라벨_V2,20251125,700,700,0.0
